,Name,Online_order,Book_table,Rate,Dish_liked,Approx_cost(for 2 people)
8766,Abhiruchi Hotel,Yes,No,3.5 out of 5,"Dum Biryani, Prawn Curry, Paneer Biryani, Chicken Boneless Biryani, Apollo Fish",600
8771,Mr. Meetharam,Yes,No,2.8 out of 5,"Paratha, Chaat, Pav Bhaji, Rasmalai, Lassi, Masala Poori, Samosa",150
8773,The Wok Shop,Yes,No,4.1 out of 5,"Momos, Rice Noodles, Kung Pao Chicken, Noodle, Rice Bowl, Thai Green Curry, Chicken Dim Sum",500
8775,Maa Di Hatti,Yes,No,2.8 out of 5,"Saag, Veg Thali",500
8776,Bakingo,Yes,No,4.0 out of 5,Coffee,500
8778,Zeeshan,Yes,No,3.8 out of 5,"Rolls, Kathi Roll, Mutton Roll, Chicken Roll, Firni, Chicken Tikka, Bengali Style Biryani",700
8783,Hatti Kaapi,Yes,No,3.9 out of 5,"Filter Coffee, Badam Milk, Idli, Hot Coffee, Samosa, Lemon Tea, Mini Idlis",200
8786,Empire Restaurant,Yes,No,3.9 out of 5,"Biryani, Chicken Grill",400
8788,Meat And Eat,Yes,No,3.6 out of 5,"Burgers, Fries, Chicken Wings, Popcorn, Chicken Grill",500
8792,Juice Junction,Yes,No,4.0 out of 5,"Fruit Bowl, Grape Juice, Nannari Sharbat, Cheese Sandwich, Tea, Cheese Sandwiches, Orange Juice",150
8794,Mynutrikitchen,Yes,No,3.6 out of 5,Salad,300
8798,InnerChef,Yes,No,3.9 out of 5,"Pasta, Salads, Chole, Butter Chicken, Brownie, Butter Cookies, Sandwiches",500
8799,Smoor,Yes,No,4.2 out of 5,"Sandwich, Cheesecake, Cup Cake, Hot Chocolate, Coffee, Macaroon, Mousse",900
8800,Parika Multicuisine & Coastal Fine Dine,Yes,Yes,3.9 out of 5,"Sea Food, Fish, Prawn Curry, Crab Masala, Prawn Gassi, Naan, Neer Dosa","1,000"
8804,Al-Bek,Yes,No,3.9 out of 5,"Naan, Mutton Biryani",450
8805,The Rendezvous,Yes,No,3.7 out of 5,"Chicken Fritters, Steak, Sandwiches, Burgers, Pasta, Salads, Beef Stroganoff",800
8807,Biryani Pot,Yes,No,3.8 out of 5,"Hyderabadi Biryani, Vegetable Biryani, Mutton Biryani, Veg Dum Biryani, Chicken Boneless Biryani, Egg Biryani, Chicken Dum Biryani",500
8808,Hotel Tom's Restaurant,Yes,No,4.1 out of 5,"Neer Dosa, Prawn Curry, Pork Chilli, Biryani, Sea Food, Kori Roti, Chicken Curry","1,000"
8809,Grapevine,Yes,Yes,4.1 out of 5,"Wine, Pizza, Brownie, Pasta, Souvlaki, Tiramisu, Mezze Platter","1,200"
8816,New Tasty Cafeteria,Yes,No,3.8 out of 5,"Shawarma, Chicken Grill, Faluda",500
8819,Sagar Fast Food,Yes,No,4.0 out of 5,"Tea, Coffee, Neer Dosa, Gajar Ka Halwa, Thali, Chaat, Cheese Dosa",300
8821,Cafe Terra,Yes,No,4.1 out of 5,"English Breakfast, Waffles, Chocolate Cake, Frittata, Chicken Lasagne, Ginger Tea, Burgers",700
8824,Sukh Sagar,Yes,No,3.8 out of 5,"Pav Bhaji, Panneer Butter Masala, Deluxe Thali, Tea, Panipuri, Chaat, Masala Dosa",500
8826,Birinz,Yes,No,4.2 out of 5,"Gulab Jamun, Chicken Guntur, Mushroom Biryani, Chicken Kolhapuri, Paneer Biryani, Chicken Biryani",400
8829,Sulemani Chichas,Yes,No,4.1 out of 5,"Hyderabadi Biryani, Chicken Biryani, Mutton Paya, Mutton Biryani, Vegetable Biryani, Khichda, Tandoori Chicken",400
8840,Spicy Kitchen,Yes,No,3.7 out of 5,Spicy Chicken,500
8843,Maa Bhook Lagi,Yes,No,3.9 out of 5,"Chole, Kheer, Biryani, Litti, Liti Chokha, Churma, Raita",400
8844,30 Square,Yes,No,4.2 out of 5,"Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo",400
8845,Fillers,Yes,No,3.9 out of 5,"Pizza Parantha, Chai, Paratha, Fries, Cheese Maggi, Rajma Chawal",300
8848,Thyme & Whisk,Yes,No,NEW,"Pizza, Momos, Pasta, Brownie, Nachos, Waffles, Onion Rings",800
8852,Cream Chemistry,Yes,No,4.0 out of 5,"Rolls, Chocolate Icecreams, Red Velvet Ice Cream, Ice Cream Roll, Waffles",500
8853,Little Kitchen,Yes,No,3.6 out of 5,"Chicken Curry, Red Rice, Fish Curry",400
8859,Chef Baker's,Yes,No,3.9 out of 5,"Burgers, Peri Peri Chicken Burger, Pizza, Sandwiches, Pasta, Sandwich, Potato Wedges",600
8864,Just Shawarma,Yes,No,4.0 out of 5,"Whole Meat Shawarma, Fries, Jumbo Shawarma, Malgoum Shawarma, Rolls, Chicken Shawarama, Kerala Parotta",300
8870,Coffee Tea & More,Yes,No,4.0 out of 5,"Ginger Tea, Filter Coffee, Sandwich, Poha, Waffles, Vada",150
8874,House Stark Cafe,Yes,No,3.9 out of 5,Fries,300
8882,Meghana Foods,Yes,No,4.4 out of 5,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food",600
8883,Terra Bites,Yes,No,4.0 out of 5,"Spaghetti, Hot Chocolate, Coffee, Tea",700
8885,White Elefan Coffee and Snack Bar,Yes,No,3.9 out of 5,"Coffee, Sandwiches, Tea",550
8887,The Tandoori Chai,Yes,No,3.9 out of 5,"Tandoori Chai, Tea, Paratha, Samosa Chaat, Onion Pakoda, Raj Kachori",400
8894,High n Hungry,Yes,No,2.9 out of 5,"Burgers, Pasta",700
8896,Caffe Pascucci,Yes,Yes,4.1 out of 5,"Pizza, Coffee, Pasta, Sandwiches, Chicken Lasagne, Pepper Chicken, Bruschettas",950
8898,Yummy Biryani,Yes,No,3.8 out of 5,"Biryani, Paratha, Chicken Masala, Kerala Parotta",200
8900,Bonum cibum,Yes,No,4.5 out of 5,"Shawarma, Pasta, Falafel, Mocktails, Babaganush, Pizza, Chicken Shawarama","1,200"
8903,Zero Mile Punjab,Yes,Yes,4.1 out of 5,"Lassi, Chicken Curry, Chicken Malai Tikka, Butter Chicken, Panner Tikka, Butter Naan, Jeera Rice",800
8906,Paratha Plaza,Yes,No,3.0 out of 5,"Paratha, Rajma",300
8916,Golden Restaurant,Yes,Yes,3.4 out of 5,"Chicken Grill, Shawarma",750
8917,Parisar Veg Restaurant,Yes,No,3.6 out of 5,"Masala Dosa, Vada",400
8919,Kwality Cakes N Bakes,Yes,No,3.7 out of 5,"Eggless Cake, Burgers, Red Velvet Cake",350
8921,Sree Krishna Kafe,Yes,No,4.2 out of 5,"Filter Coffee, Lunch Thali, Idli, Mini Idlis, Ghee Masala Dosa, Rasam Vada, Pongal",200
8929,Shree Khana Khazana,Yes,No,3.9 out of 5,"Buttermilk, Thali, Dal Bati, Panneer Butter Masala, Rajma Rice, Sweet Lassi, Kadhi",450
8932,Kabab Magic,Yes,No,4.0 out of 5,"Chicken Grill, Grape Juice, Biryani, Shawarma Roll, Rolls, Chicken Kebab, Chicken Shwarma Roll",500
8933,Kaaram,Yes,No,3.9 out of 5,"Mughlai Biryani, Vegetable Biryani, Kaaram Biryani, Gulab Jamun, Raita, Kebab Biryani, Dum Biryani",500
8935,Jose's Mess,No,No,4.3 out of 5,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry",300
8941,Reddy's Restaurant,Yes,No,3.7 out of 5,"Chicken Biryani, Mutton Roganjosh, Andhra Meal",500
8943,New Gongura Grand,Yes,No,3.9 out of 5,"Andhra Thali, Chicken Lollipop, Mutton Biryani, Chicken Boneless Biryani, Andhra Meal, Hyderabadi Biryani, Raita",550
8944,Kadal Da Meen,Yes,No,3.9 out of 5,"Sea Food, Anjal Tava Fry, Murgh Ghee Roast",900
8950,Shuddh Desi Khana,Yes,No,4.1 out of 5,"Paratha, Chicken Kebab, Biryani, Lassi, Butter Chicken, Veg Kolhapuri, Pahari Chicken",400
8954,Popsies,Yes,No,3.9 out of 5,"Momos, Chilli Chicken, Chicken Manchow Soup, Spicy Chicken Wings, Thukpa, Chicken Noodle, Tai Pai Chicken",550
8962,Just Bake,Yes,No,3.8 out of 5,"Coffee, Cup Cake",400
8980,Third Wave Coffee Roasters,Yes,No,4.2 out of 5,"Coffee, Latte, Waffles, Hot Chocolate, Cottage Cheese Sandwich, Pita Bread",800
8983,Chaska Bun,Yes,No,4.2 out of 5,"Ginger Tea, Chai, Samosa, Bun Omelette, Elaichi Tea, Egg Bhurji, Carrot Cake",300
8984,Dreams Cafe - All Day English Food St.,Yes,No,3.8 out of 5,"English Breakfast, Coffee, Burgers, Fish, Omelette, Sandwiches, Chicken Burger",600
8986,Mecaf Family Restaurant,Yes,No,3.9 out of 5,"Biryani, Masala Papad, Chicken Grill, Dragon Chicken, Paratha, Roti, Chicken Curry",600
8989,Asha Tiffins,Yes,No,4.3 out of 5,"Vada, Masala Dosa, Kharabath, Filter Coffee, Kesari Bath, Idli Sambar",150
8993,Mani's Dum Biryani,Yes,No,3.9 out of 5,"Vegetable Biryani, Chicken Biryani, Raita, Chicken Kebab, Hyderabadi Biryani, Fish Biryani, Paneer Biryani",750
8995,Pingara,Yes,No,3.7 out of 5,"Sea Food, Beer, Fish Thali, Fish Fry, Chicken Tikka, Neer Dosa",550
9009,Hyderabad Biryaani House,Yes,No,4.1 out of 5,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn",750
9010,Chicken County Grand,Yes,No,3.9 out of 5,"Chicken Grill, Fish, Shawarma, Rolls, Tandoori Chicken, Biryani, Hyderabadi Chicken",650
9011,Gyani Da Punjabi Dhaba,Yes,No,3.9 out of 5,"Lassi, Paratha, Paneer Parantha, Butter Chicken, Punjabi Chicken, Shahi Paneer, Chicken Kolhapuri",500
9017,Oregano Pizzeria,Yes,No,3.7 out of 5,"Margherita Pizza, Cheesy Bites",450
9022,Tharavadu,Yes,No,3.8 out of 5,"Biryani, Fish Curry",400
9023,Onesta,Yes,Yes,4.4 out of 5,"Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza",600
9030,Noodle Panda,Yes,No,4.3 out of 5,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums",800
9031,Biryani Palace,Yes,No,3.9 out of 5,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita",600
9033,Bhojohori Manna,Yes,No,4.1 out of 5,"Fish, Sea Food, Chingri Malai Curry, Mutton Kasha, Jumbo Ilish, Chingri Malaikari, Jumbo Prawns",650
9038,Szechuan Dragon,Yes,No,3.9 out of 5,"Salad, Fried Rice Chicken",600
9041,Mealer.in,Yes,No,4.2 out of 5,"Kheer, Sandwich, Roti, Salad, Rajma, Gulab Jamun, Chole",450
9043,Juice Junction Food Court,Yes,No,3.7 out of 5,"Tea, Chai, Sandwiches, Sandwich",250
9060,Qube Cafe,Yes,No,4.2 out of 5,"Pizza, Coffee, Burgers, Pasta, Tiramisu, Sandwiches, Tea",700
9062,Rang De Basanthi,Yes,No,3.7 out of 5,"Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken",400
9064,Little Lucknow,Yes,Yes,4.0 out of 5,"Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken",800
9065,Odissi Restaurant,Yes,No,2.8 out of 5,"Egg Tadka, Roti, Veg Thali",500
9074,The Beer Cafe,Yes,Yes,4.2 out of 5,"Beer, Chilli Chicken, Pizza, Paneer Tikka, Cocktails, Nachos, Mocktails","1,300"
9075,Attic Lounge,Yes,Yes,4.0 out of 5,"Pizza, Pasta, Mocktails, Malai Tikka, Noodles, Chicken Tikka, Onion Rings",700
9080,Bistro Claytopia,Yes,Yes,4.1 out of 5,"Burgers, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich, Salads",600
9084,Delicacy,Yes,No,3.9 out of 5,"Noodles, Momos, Chicken Manchow Soup, Chicken Noodle, Prawn, Chicken Honey, Thai Rice",500
9094,Eshmeet Da Dhaba,Yes,No,3.1 out of 5,"Tandoori Chicken, Butter Chicken, Lassi, Shahi Paneer, Tandoori Roti, Rumali Roti, Biryani",500
9095,Moolehatti Donne Biryani Mane,Yes,No,3.6 out of 5,"Mutton Biryani, Chicken Kebab, Donne Biryani",400
9101,Howrah Bridge,Yes,No,3.3 out of 5,"Rasgulla, Egg Devils, Mutton Kosha, Luchi, Chicken Biryani, Aalo Bhaja, Mughlai Paratha",600
9102,Ghee Positive,Yes,No,3.8 out of 5,"Paratha, Mutton Curry",300
9103,Sarvam,Yes,No,3.6 out of 5,"Roti, Paratha, Appam, Chicken Biryani, Kothu Parotta, Elaneer Payasam, Fish Fry",550
9109,Tibetan Mother's Kitchen,Yes,No,4.0 out of 5,"Momos, Noodles, Thukpa, Honey Chilli Potatoes, Chicken Thupka, Pork Chilli, Crispy Honey Chicken",500
9110,Pecos Hideout,No,Yes,4.0 out of 5,"Chicken Steak, Beer, Beef Steak, Cheese Nachos, Honey Chilli Potatoes, French Fries, Masala Peanuts","1,100"
9111,Hanoi - Vietnamese Cuisine,Yes,Yes,4.4 out of 5,"Pho, Hot Pot, Sangria, Fig Ice Cream, Crepe, Fish, Pumpkin Soup","1,000"
9112,Yum In My Tum,Yes,No,4.1 out of 5,"Momos, Pizza Sandwich, Manchow Soup, Spring Roll, Noodles, Fries, Fried Rice",300
9115,Royal Paris,Yes,No,3.9 out of 5,"Butter Chicken, Chicken Biryani","1,000"
9116,What'sinaPita,Yes,No,3.9 out of 5,"Falafel Wrap, Salads, Brownie Fudge, Fattoush Salad, Chicken Wings, Pita Bread, Paneer Wrap",400
9120,Tarbouche,Yes,No,4.0 out of 5,"Falafel, Lamb Kebab, Rolls, Fattoush, Teriyaki Chicken, Fries, Shawarma",300
9122,Desi Flavours,Yes,No,3.9 out of 5,"Chicken Biryani, Thali, Rolls, Ambur Biryani, Palak Paneer, Salad, Bhatti Ka Murgh",400
9125,Mustard Food Court,Yes,No,3.6 out of 5,"Chicken Biryani, Chicken Wings, Chicken Curry, Kadhai Paneer, Butter Chicken, Noodles, Vegetable Biryani",500
9127,Once Upon A Flame,Yes,No,4.5 out of 5,"Burgers, Mocktails, Mashed Potato, Salads, Pasta Alfredo, Chicken Steak, Beef Steak","1,200"
9129,Karahi Kitchen,Yes,No,3.9 out of 5,Chicken Biryani,300
9131,Stoned Monkey,Yes,No,4.1 out of 5,"Nachos, Waffles, Hot Chocolate Fudge, Chocolate Icecreams, Tiramisu, Cheesy Garlic Bread, Vanilla Ice Cream",500
9138,Barbeque Delight,Yes,No,3.7 out of 5,"Tandoori Chicken, Paratha",800
9140,Fritz Haber,Yes,No,4.1 out of 5,"Ice Cream Roll, Nitrogen Ice Cream, Roasted Almonds, Salted Caramel",450
9143,Bangaliana,Yes,No,3.9 out of 5,"Sea Food, Bhetki Paturi, Chicken Dak Bunglow, Prawn, Rasgulla, Potato Curry, Mishti Doi",600
9144,Rolla Rappa,Yes,No,3.6 out of 5,"Rolls, Tandoori Momos, Soya Chaap, Peri Peri Chicken Roll, Chicken Biryani, Fries, Paneer Roll",400
9147,Tawa Ghar Ka,Yes,No,3.8 out of 5,"Mushroom Masala, Thali, Aloo Paratha, Roti, Samosa, Panneer Butter Masala",350
9148,Uday Sweets,Yes,No,3.8 out of 5,"Samosa, Poha, Rasgulla, Kachori",250
9153,Mitran Da Junction,Yes,No,4.1 out of 5,"Butter Chicken, Dal Makhani, Roti, Tangdi Kabab, Panneer Butter Masala",600
9156,Bansuri Sweets,No,No,3.8 out of 5,"Chaat, Gulab Jamun, Panipuri, Samosa, Dhokla, Thali, Kachori",200
9159,Gramin,Yes,No,4.3 out of 5,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",600
9160,Tenzin Kitchen,Yes,No,4.2 out of 5,"Momos, Noodles, Thukpa, Teriyaki Chicken, Chicken Chowmein, Clear Chicken Soup, Beef Chilli",450
9161,Raichur Biryani House,Yes,No,3.8 out of 5,"Chicken Biryani, Dum Biryani, Vegetable Biryani, Mutton Biryani",400
9166,Laziz Pizza,Yes,No,3.8 out of 5,"Pizza, Peri Peri Fries, Veg Paprika",400
9169,Kumarakom,Yes,Yes,3.8 out of 5,"Egg Roast, Appam, Fish, Sea Food, Chicken Curry, Chicken Stew, Beef Fry",600
9174,DinePost9,Yes,No,3.9 out of 5,"Tandoori Chicken, Panneer Butter Masala, Butter Naan, Kheer",450
9175,WAFL Co,Yes,No,4.3 out of 5,"Waffles, Pancakes, Oreo Waffle",400
9176,Oh My Biryani,Yes,No,3.7 out of 5,"Raita, Butter Chicken Biryani, Shahi Tukda, Gulab Jamun, Coconut Chicken, Mutton Biryani",550
9177,Kinpeetos,Yes,No,3.9 out of 5,"Burgers, Belgian Fries, Pasta, Salads, Falafel Pockets, Greek Sandwich",300
9178,Pipabu,Yes,No,3.8 out of 5,"Pasta, Pizza",750
9182,Curry Leaves,Yes,No,3.8 out of 5,"Andhra Meal, Vegetable Biryani, Veg Thali, Chicken Chettinad, French Chicken, Manchurian",600
9194,Baba Chatkora,Yes,No,4.2 out of 5,"Matka Lassi, Paneer Tikka, Chole, Shikanji, Onion Kulcha, Malai Chaap, Soya Chaap","1,000"
9195,The Rasoiya Street,Yes,Yes,4.1 out of 5,"Sandwich, Mushroom Soup, Enchiladas, Wood Fire Pizza, Tawa Pulav, Broccoli Soup, Achari Paneer",800
9196,Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.3 out of 5,"Pizza, Pancakes, Pasta, Burgers, Buffalo Wings, Peri Peri Chicken Steak, Latte",700
9197,Chulha Chauki Da Dhaba,Yes,No,4.3 out of 5,"Egg Chilli, Chilli Babycorn, Chicken Curry, Sweet Lassi, Palak Paneer, Chaach, Butter Chicken",800
9198,Smise,Yes,Yes,4.0 out of 5,"Pasta, Seafood Pizza, Mocktails, Brownie, Tenderloin Burger, Burgers, Exotic Veg Pizza",650
9203,Tall Blonde French,Yes,No,4.3 out of 5,"French Fries, Peri Peri Fries, Cup Cake, Potato Fries, Fried Cheese, Chicken Fries, Mexican Fries",400
9204,The Paramount Hotel,Yes,No,3.5 out of 5,"Chicken Grill, Biryani, Shawarma","1,000"
9208,Meenu Oota Da Maane,Yes,Yes,4.2 out of 5,"Sea Food, Neer Dosa, Fish Curry, Chicken Thali, Crab Ghee Roast, Squid Ghee Roast, Murgh Ghee Roast",800
9212,Habibi Falafel,Yes,No,4.3 out of 5,"Baklava, Falafel Roll, Falafel Plate, Pita Bread, Mint Lemonade, Pita Pocket, Pomegranate Juice",300
9215,BTM Ghar ka Khana,No,No,3.7 out of 5,"Matar Paneer, Paratha, Chole Bhature, Lassi",200
9217,Belgian Waffle Factory,Yes,No,4.8 out of 5,"Nachos, Chocolate Waffles, Nutella Waffle, Salsa, Oreo Waffle",400
9218,Nasi And Mee,Yes,Yes,4.4 out of 5,"Salads, Shitake Mushrooms, Noodles, Dumplings, Nasi Goreng, Crispy Corn, Vegetarian","1,000"
9224,Aami Bangali,Yes,No,3.0 out of 5,"Basanti Pulao, Fish, Aloo Posto, Thali",700
9231,Dalma,Yes,No,3.9 out of 5,"Lassi, Mutton Kosha, Thali, Chicken Handi, Chicken Curry, Buttermilk, Rasgulla",600
9233,Mid-Night Crunch,Yes,No,3.6 out of 5,Rolls,400
9239,Roots,Yes,Yes,4.5 out of 5,"Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken","1,200"
9240,Bamey's Restro Cafe,Yes,No,4.2 out of 5,"Momo Platter, Noodles, Thali, Chicken Sekuwa, Chicken Thukpa, Jhol Momos, Veg Momos",600
9241,Shaap,Yes,No,3.6 out of 5,"Appam, Kappa Biryani, Chicken Fry, Kallappam, Buttermilk, Beef Fry, Paratha",500
9250,Potato Bae,Yes,No,4.0 out of 5,"Almond Shake, Pizza Fries",500
9258,Sonar Bangala,Yes,No,3.8 out of 5,"Kosha Mangsho, Daab Chingri, Fish Curry, Dum Biryani",500
9260,Krem,Yes,No,4.1 out of 5,"Churros, Baklava Ice Cream, Cheesecake, Chocolate Peanut Butter, Cheese Roll, Chocolate Sundae",450
9261,Samaikya,Yes,Yes,3.9 out of 5,"Andhra Thali, Mutton Biryani, Mutton Fry, Lassi, Chicken Curry, Ragi Mudde, Ulavacharu",900
9268,Zangos Grill,Yes,No,4.0 out of 5,"Burgers, Pita Bread, Chicken Grill, French Fries, Peri Peri Chicken",300
9274,Pasta Street,Yes,Yes,4.5 out of 5,"Pasta, Wine, Pizza, Lasagne, Cheesecake, Spinach Ravioli, Cocktails","1,300"
9276,Helloo Delhi,Yes,Yes,4.1 out of 5,"Rasmalai, Murgh Lababdar, Kadai Paneer, Dal Makhani, Fish, Jal-jeera, Lassi","1,000"
9278,Sufra Restaurant,Yes,Yes,3.7 out of 5,"Butter Chicken, Tikka, Chicken Biryani, Naan, Dal Tadka",800
9281,LIT Gastro Pub,Yes,Yes,3.8 out of 5,"Mocktails, Cocktails, Beer, Peri Peri Fries, Hot Wings, Pasta, Chilli Chicken","1,000"
9285,Oye Amritsar,Yes,Yes,3.8 out of 5,"Lassi, Raita, Panneer Butter Masala, Dal Makhani, Jalebi, Biryani, Paneer Tikka",600
9291,Cafe Thulp,Yes,No,4.1 out of 5,"Burgers, Fries, Pasta, Pork Chops, Chocolate Milkshake, Sandwiches, Waffles","1,000"
9292,Grillopia,Yes,No,3.9 out of 5,"Burgers, Fries, Wood Fire Pizza","1,000"
9294,The Smoke Co.,Yes,Yes,4.3 out of 5,"Mysore Pak, Cocktails, Burgers, Pork Ribs, Fish, Mocktails, Beer","2,500"
9295,Rashtrakutas,Yes,Yes,3.9 out of 5,"Gulkand Ice Cream, Thali, Corn Paratha, Donne Biryani, Ceylon Paratha, Buttermilk, Mutton Chops",800
9296,Hunger Hitman,Yes,No,3.8 out of 5,"Halwa, Chicken Biryani, Butter Chicken, Kheer, Brownie Chocolate, Chilli Chicken, Raita",300
9298,Snow'ora,Yes,Yes,4.3 out of 5,"Bingsu, Mocktails, Custard, Chocolate Oreo, Sandwiches, Brownie, Korean Ice Cream",450
9301,New Friends,Yes,No,3.8 out of 5,"Fritters, Lasagne, Biryani, Fish, Pasta, Draught Beer, Hot Pot",900
9305,Lazeez,Yes,No,3.2 out of 5,"Biryani, Rolls, Firni, Chicken Roll, Mutton Pasanda, Mutton Rezala, Phirni",600
9306,Aalishan Restaurant & Caterer,Yes,No,3.5 out of 5,"Rolls, Tandoori Murgh Masala, Legendary Arsalan, Firni, Phirni, Mutton Biryani, Chicken Roll",650
9308,Hotel Food Lands,Yes,No,3.8 out of 5,"Sea Food, Biryani, Anjal Tava Fry",700
9311,Peace Restaurant,Yes,No,3.8 out of 5,"Momos, Thukpa, Dumplings, Crispy Chilli Potatoes, Beef Shaptak Dry, Chicken Momo, Fruit Beer",500
9318,China Pearl,Yes,Yes,4.4 out of 5,"Noodles, Veg Momos, Chicken Soup, Chicken Dumplings, Meishan Tofu, Sea Food, Mocktails","1,100"
9319,Anupam's Coast II Coast,Yes,No,4.1 out of 5,"Neer Dosa, Murgh Ghee Roast, Sea Food, Fish, Ghee Rice, Appam, Prawn Ghee Roast",700
9322,Yum Kitchen,Yes,No,3.2 out of 5,"Chicken Roll, Sweet Lime",600
9323,Pazzo,Yes,No,4.3 out of 5,"Pasta, Salad, Spaghetti, Burgers, Mocktails, Chettinad Pizza, Veg Burger",700
9324,What's In A Name,Yes,Yes,4.1 out of 5,"Cocktails, Chicken Nachos, Pizza, Peri Peri Fries, Hush Puppies, Beer, Tiramisu","1,200"
9325,Dragon's Kitchen,Yes,No,3.1 out of 5,"Hakka Noodles, Honey Chilli Chicken, Garlic Butter Noodle, Dragon Chicken, Garlic Chicken",500
9326,Tunday Kababi,Yes,No,3.9 out of 5,"Biryani, Galauti Kebab, Tandoori Chicken, Phirni, Tundey Paratha, Rolls, Rumali Roti",500
9335,Maria's Goan Kitchen,Yes,No,3.9 out of 5,"Goan Thali, Sol Kadhi, Prawn, Pork Vindaloo, Plain Rice, Fish, Beef Fry",750
9336,Dhaba Bytes,Yes,No,4.1 out of 5,"Naan, Roti, Shahi Paneer, Shahi Tukda",650
9337,Noon's,Yes,No,4.2 out of 5,"Chicken Biryani, Hyderabadi Dum Biryani, Raita",300
9338,ReadyBowl,Yes,No,3.7 out of 5,"Rice, Chicken Boneless Biryani, Masala Paneer",400
9339,The Waffle Street,Yes,No,3.9 out of 5,"Waffles, Pasta Alfredo",300
9341,Pizza Cart,Yes,No,3.8 out of 5,"Pizza, Rolls, Burgers",800
9343,China Bowl,Yes,No,3.9 out of 5,"Noodles, Roast Pork, Biryani, Manchow Soup, Pork Ribs, Butter Garlic Prawns, Crispy Honey Chilli Chicken","1,000"
9344,Grills And Tandoor,Yes,Yes,3.6 out of 5,"Chicken Grill, Biryani, Shahi Tukda, Chop Suey, Barbeque Chicken, Naan, Fish",900
9345,Smokey Tribe Restaurant,Yes,No,3.8 out of 5,"Beer, Mashed Potato, Pork Thali, Pork Curry, Smoked Pork, Veg Thali",650
9349,Harry's Bar + Cafe,Yes,Yes,4.2 out of 5,"Cocktails, Beer, Onion Rings, Burgers, Margherita Pizza, Mocktails, Veg Nachos","1,400"
9354,Indus Family Restaurant,Yes,No,3.8 out of 5,"Mutton Biryani, Thali",600
9357,Brooks and Bonds Brewery,Yes,Yes,4.4 out of 5,"Beef Chilli, Salad, Cocktails, Pizza, Craft Beer, Potato Wedges, Mango Cider","1,600"
9358,Narmadha's Hyderabad Biriyani,No,No,3.9 out of 5,"Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani",550
9361,The Marash,Yes,No,4.3 out of 5,"Turkish Ice Cream, Baklava, Chocolate Icecreams",250
9362,Gods Own Cafe,Yes,No,4.4 out of 5,"Appam, Buttermilk, Fry Prawns, Roast Beef, Masala Prawn, Chicken Stew, Murgh Ghee Roast",300
9363,Tim Tai,Yes,Yes,4.4 out of 5,"Noodles, Rice Paper Rolls, Prawn Dumplings, Vegetable Dimsums, Prawn Dim Sums, Pad Thai, Rendang Chicken","1,400"
9366,Cable Car,Yes,Yes,4.3 out of 5,"Pasta, Salads, Mocktails, Veg Buffet, Paneer Tikka, Biryani, Falafel","1,000"
9369,Eat N Drink,No,No,3.8 out of 5,"Sandwiches, Fruit Juices, Burgers, Chicken Sandwich, Omelette, French Fries, Oreo Shake",250
9374,Fill N Chill Resto Bar & Pub,Yes,Yes,3.9 out of 5,"Beer, Biryani, Cocktails, Masala Peanuts, Chicken Tikka, Chips, Fish","1,200"
9378,Shift,Yes,Yes,4.2 out of 5,"Paneer Steak, Peri Peri Pizza, Lamb Chops, Chicken Biryani, Cocktails, Mocktails, Kiwi Delight","1,500"
9387,Snakk That,Yes,No,3.9 out of 5,"Burgers, Nachos, Oreo Shake, Veg Sandwich, Veg Burger",250
9388,Swathi Maharaja,Yes,Yes,3.7 out of 5,"Murgh Ghee Roast, Mutton Biryani, Buttermilk, Andhra Meal, Thali, Chilli Chicken, Prawn",750
9390,Via Milano,Yes,Yes,4.2 out of 5,"Pasta, Pizza, Steak, Mojito, Salads, Tiramisu, Sea Food","1,500"
9393,Mimansa @ Foxtrot,Yes,Yes,4.4 out of 5,"Pizza, Healthy Breakfast, Salads, Frittata, Salad, Carrot Halwa, Potato Fries","1,000"
